year,week_of_year,wind_speed,wind_dir,wave_height,turbine_access_days,remark
2025,32,6.9,225,1.2,5,Summer
2025,33,5.7,223,0.7,7,Summer
2025,34,6.3,227,0.5,7,Summer
2025,35,6.2,233,0.7,6,Summer
2025,36,7,295,0.9,6,Fall
2025,37,7.1,19,1.3,4,Fall
2025,38,7.6,355,1.3,4,Fall
2025,39,6.7,65,1.1,6,Fall
2025,40,4.9,25,0.8,7,Fall
2025,41,6.9,64,1.6,3,Fall
2025,42,8,46,2,1,Fall
2025,43,8.7,59,2.2,2,Fall
2025,44,6.2,355,1,6,Fall
2025,45,6.2,62,1.4,5,Fall
2025,46,5.1,355,1,7,Fall
2025,47,6.4,296,1.2,5,Fall
2025,48,7.5,273,1.3,4,Fall
2025,49,8.1,295,1.3,4,Winter
2025,50,7.5,332,1.4,4,Winter
2025,51,7.1,276,1.5,4,Winter
2025,52,8.2,329,1.8,3,Winter
